sourceId,title,organization,register,authorityTier,license,accessStatus,documentFormat,domain,authority,stability,provenance,factualDensity,structuralRichness,rewriteUtility,accessibility,reproducibility,learningValue,totalScore,selectionStatus,goldRank
SRC-NF-0001,Climate Change 2023: AR6 Synthesis Report — Summary for Policymakers,IPCC,ACADEMIC,1,Open Access,FULL_TEXT_ARCHIVABLE,PDF,climate,5,5,5,5,5,5,5,5,5,48,GOLD,1
SRC-NF-0002,Emissions Gap Report 2023: Broken Record,UNEP,ACADEMIC,1,Open Access,FULL_TEXT_ARCHIVABLE,PDF,climate,5,5,5,5,5,5,5,5,5,48,GOLD,2
SRC-NF-0003,Fifth National Climate Assessment (NCA5),USGCRP,ACADEMIC,1,Public Domain,FULL_TEXT_ARCHIVABLE,HTML,climate,5,5,5,5,5,5,5,5,5,48,GOLD,3
SRC-NF-0004,Comparative analysis of Cochrane and non-Cochrane systematic reviews,PMC / NIH,ACADEMIC,1,Open Access,FULL_TEXT_ARCHIVABLE,HTML,medicine,5,5,5,5,5,5,5,5,5,48,GOLD,4
SRC-NF-0005,2023 National Population Projections Tables: Main Series - Census Bureau,U.S. Census Bureau,GOVERNMENT,1,Public Domain,FULL_TEXT_ARCHIVABLE,HTML,demographics,5,5,5,5,5,5,5,5,5,48,GOLD,5
SRC-NF-0006,"QUARTERLY FINANCIAL REPORT: U.S. MANUFACTURING, MINING, TRADE, AND SELECTED SERVICE INDUSTRIES, Q4 2024",U.S. Census Bureau,GOVERNMENT,1,Public Domain,FULL_TEXT_ARCHIVABLE,PDF,economy,5,5,5,5,5,5,5,5,5,48,GOLD,6
SRC-NF-0007,Employment Situation News Release - 2024 M13 Results (December 2024),U.S. Bureau of Labor Statistics,GOVERNMENT,1,Public Domain,FULL_TEXT_ARCHIVABLE,HTML,labor,5,5,5,5,5,5,5,5,5,48,GOLD,7
SRC-NF-0008,Consumer Price Index News Release - 2026 M05 Results (May 2026),U.S. Bureau of Labor Statistics,GOVERNMENT,1,Public Domain,FULL_TEXT_ARCHIVABLE,HTML,economy,5,5,5,5,5,5,5,5,5,48,GOLD,8
SRC-NF-0009,"GDP (Advance Estimate), 4th Quarter and Year 2025",U.S. Bureau of Economic Analysis,GOVERNMENT,1,Public Domain,FULL_TEXT_ARCHIVABLE,HTML,economy,5,5,5,5,5,5,5,5,5,48,GOLD,9
SRC-NF-0010,"SP 800-53 Rev. 5, Security and Privacy Controls for Information",NIST,TECHNICAL,1,Public Domain,FULL_TEXT_ARCHIVABLE,HTML,cybersecurity,5,5,5,5,5,5,5,5,5,48,GOLD,10
SRC-NF-0011,"SP 800-63B, Digital Identity Guidelines: Authentication and",NIST,TECHNICAL,1,Public Domain,FULL_TEXT_ARCHIVABLE,HTML,cybersecurity,5,5,5,5,5,5,5,5,5,48,GOLD,11
SRC-NF-0012,ENISA Threat Landscape 2024,ENISA,TECHNICAL,1,CC-BY,FULL_TEXT_ARCHIVABLE,HTML,cybersecurity,5,5,5,5,5,5,5,5,5,48,GOLD,12
SRC-NF-0013,"Microsoft Corporation Form 10-K For the Fiscal Year Ended June 30, 2023",Microsoft Corporation / SEC EDGAR,BUSINESS,1,Publicly-released,FULL_TEXT_ARCHIVABLE,HTML,technology-corporate,5,5,5,5,5,5,5,5,5,48,GOLD,13
SRC-NF-0014,"Apple Inc. Form 10-K For the Fiscal Year Ended September 30, 2023",Apple Inc. / SEC EDGAR,BUSINESS,1,Publicly-released,FULL_TEXT_ARCHIVABLE,HTML,technology-corporate,5,5,5,5,5,5,5,5,5,48,GOLD,14
SRC-NF-0015,CO₂ and Greenhouse Gas Emissions,Our World in Data,JOURNALISM,2,CC-BY,FULL_TEXT_ARCHIVABLE,HTML,climate,4,5,5,5,5,5,5,5,5,46,GOLD,15
SRC-NF-0016,CO₂ emissions,Our World in Data,JOURNALISM,2,CC-BY,FULL_TEXT_ARCHIVABLE,HTML,climate,4,5,5,5,5,5,5,5,5,46,GOLD,16
