sourceId,title,organization,register,countryOrRegion,authorityTier,licenseStatus,accessStatus,archivalPermission,redistributionPermission,documentFormat,domain,gapFill,authority,stability,provenance,factualDensity,structuralRichness,rewriteUtility,accessibility,reproducibility,learningValue,totalScore,selectionStatus,goldRank,origin,v1SourceId
SRC-NF-0001,Climate Change 2023: AR6 Synthesis Report — Summary for Policymakers,IPCC,ACADEMIC,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,PDF,climate,,5,5,5,5,5,5,5,5,5,48,GOLD,1,v1,SRC-NF-0001
SRC-NF-0002,Emissions Gap Report 2023: Broken Record,UNEP,ACADEMIC,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,PDF,climate,,5,5,5,5,5,5,5,5,5,48,GOLD,2,v1,SRC-NF-0002
SRC-NF-0003,Fifth National Climate Assessment (NCA5),USGCRP,ACADEMIC,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,climate,,5,5,5,5,5,5,5,5,5,48,GOLD,3,v1,SRC-NF-0003
SRC-NF-0004,Comparative analysis of Cochrane and non-Cochrane systematic reviews,PMC / NIH,ACADEMIC,US,1,OPEN_ACCESS,FULL_TEXT,YES,YES,HTML,medicine,,5,5,5,5,5,5,5,5,5,48,GOLD,4,v1,SRC-NF-0004
SRC-NF-0005,2023 National Population Projections Tables: Main Series - Census Bureau,U.S. Census Bureau,GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,demographics,,5,5,5,5,5,5,5,5,5,48,GOLD,5,v1,SRC-NF-0005
SRC-NF-0006,"QUARTERLY FINANCIAL REPORT: U.S. MANUFACTURING, MINING, TRADE, AND SELECTED SERVICE INDUSTRIES, Q4 2024",U.S. Census Bureau,GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,PDF,economy,,5,5,5,5,5,5,5,5,5,48,GOLD,6,v1,SRC-NF-0006
SRC-NF-0007,Employment Situation News Release - 2024 M13 Results (December 2024),U.S. Bureau of Labor Statistics,GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,labor,,5,5,5,5,5,5,5,5,5,48,GOLD,7,v1,SRC-NF-0007
SRC-NF-0008,Consumer Price Index News Release - 2026 M05 Results (May 2026),U.S. Bureau of Labor Statistics,GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,economy,,5,5,5,5,5,5,5,5,5,48,GOLD,8,v1,SRC-NF-0008
SRC-NF-0009,"GDP (Advance Estimate), 4th Quarter and Year 2025",U.S. Bureau of Economic Analysis,GOVERNMENT,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,economy,,5,5,5,5,5,5,5,5,5,48,GOLD,9,v1,SRC-NF-0009
SRC-NF-0010,"SP 800-53 Rev. 5, Security and Privacy Controls for Information",NIST,TECHNICAL,US,1,PUBLIC_DOMAIN,FULL_TEXT,YES,YES,HTML,cybersecurity,,5,5,5,5,5,5,5,5,5,48,GOLD,10,v1,SRC-NF-0010
